Region,Market,Chart,Name,Unit,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
India,Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),AWS,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Broadcom,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Cisco,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Google,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),IBM,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),Salesforce,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
India,Software,Brand Shares (BETA),ServiceNow,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Software,Revenue by Segment,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,3.89,4.84,5.07,5.53,5.49,6.57,7.29,8.44,9.56,10.75,11.96,13.21,14.42,,,,,,,,,,,,
India,Software,Revenue by Segment,Application Development Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.9,1.14,1.22,1.35,1.32,1.61,1.82,2.14,2.46,2.81,3.18,3.57,3.95,,,,,,,,,,,,
India,Software,Revenue by Segment,Enterprise Software ,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,1.51,1.89,2,2.21,2.19,2.63,2.96,3.49,4,4.55,5.12,5.73,6.32,,,,,,,,,,,,
India,Software,Revenue by Segment,Productivity Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.49,0.61,0.63,0.68,0.68,0.8,0.87,0.99,1.1,1.21,1.32,1.42,1.52,,,,,,,,,,,,
India,Software,Revenue by Segment,System Infrastructure Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.99,1.21,1.23,1.3,1.29,1.52,1.63,1.82,2,2.19,2.35,2.49,2.62,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Total,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.244,0.048,0.091,-0.007,0.197,0.11,0.158,0.133,0.124,0.113,0.105,0.092,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Application Development Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.267,0.07,0.107,-0.022,0.22,0.13,0.176,0.15,0.142,0.132,0.123,0.106,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Enterprise Software ,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.252,0.058,0.105,-0.009,0.201,0.125,0.179,0.146,0.137,0.125,0.119,0.103,,,,,,,,,,,,
India,Software,Revenue Change by Segment,Productivity Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.245,0.033,0.079,0,0.176,0.087,0.138,0.111,0.1,0.091,0.076,0.07,,,,,,,,,,,,
India,Software,Revenue Change by Segment,System Infrastructure Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.222,0.017,0.057,-0.008,0.178,0.072,0.117,0.099,0.095,0.073,0.06,0.052,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),Statista,trillion USD (US$),,,,,,,,,,,,,,,,,,0.42,0.45,0.49,0.52,0.53,0.57,0.61,0.66,0.7,0.74,0.78,0.82,0.86,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),Gartner,trillion USD (US$),,,,,,,,,,,,,,,,,,,,,,,0.73,0.81,0.92,1.04,,,,,,,,,,,,,,,,
India,Software,Comparable Estimates - Software (Worldwide),IDC,trillion USD (US$),,,,,,,,,,,,,,,,,,,0.48,0.55,0.6,0.59,0.65,0.71,0.77,0.84,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Hubspot,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Salesforce,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Brand Shares (BETA),Zoho,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Revenue,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.32,0.43,0.5,0.58,0.59,0.73,0.84,1.03,1.22,1.43,1.67,1.95,2.24,,,,,,,,,,,,
India,Customer Relationship Management Software,Revenue Change,Total,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.344,0.163,0.16,0.017,0.237,0.151,0.226,0.184,0.172,0.168,0.168,0.149,,,,,,,,,,,,
India,Customer Relationship Management Software,Average Spend per Employee,Total,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.66,0.89,1.02,1.17,1.18,1.43,1.65,1.98,2.31,2.7,3.11,3.59,4.1,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),Statista,trillion USD (US$),,,,,,,,,,,,,,,,,,0.42,0.45,0.49,0.52,0.53,0.57,0.61,0.66,0.7,0.74,0.78,0.82,0.86,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),Gartner,trillion USD (US$),,,,,,,,,,,,,,,,,,,,,,,0.73,0.81,0.92,1.04,,,,,,,,,,,,,,,,
India,Customer Relationship Management Software,Comparable Estimates - Software (Worldwide),IDC,trillion USD (US$),,,,,,,,,,,,,,,,,,,0.48,0.55,0.6,0.59,0.65,0.71,0.77,0.84,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Adobe,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),AWS,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Google,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),IBM,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Infor,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Microsoft,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Oracle,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Other,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),ServiceNow,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Shopify,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Brand Shares (BETA),Siemens,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Total,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,1.51,1.89,2,2.21,2.19,2.63,2.96,3.49,4,4.55,5.12,5.73,6.32,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Business Intelligence Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.15,0.19,0.2,0.22,0.22,0.26,0.28,0.33,0.37,0.42,0.47,0.52,0.57,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Content Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.13,0.16,0.16,0.18,0.17,0.21,0.23,0.27,0.3,0.34,0.38,0.42,0.46,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Customer Relationship Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.32,0.43,0.5,0.58,0.59,0.73,0.84,1.03,1.22,1.43,1.67,1.95,2.24,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,eCommerce Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.03,0.04,0.04,0.06,0.06,0.08,0.09,0.1,0.11,0.13,0.14,0.15,0.16,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Enterprise Performance Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.09,0.1,0.11,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Enterprise Resource Planning Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.3,0.37,0.38,0.41,0.4,0.48,0.54,0.63,0.71,0.8,0.88,0.96,1.04,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Other Enterprise Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.44,0.52,0.52,0.55,0.55,0.64,0.71,0.82,0.93,1.04,1.14,1.25,1.34,,,,,,,,,,,,
India,Enterprise Software,Revenue by Segment,Supply Chain Management Software,billion USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.12,0.14,0.15,0.17,0.16,0.19,0.21,0.25,0.28,0.31,0.34,0.38,0.41,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Total,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.252,0.058,0.105,-0.009,0.201,0.125,0.179,0.146,0.137,0.125,0.119,0.103,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Business Intelligence Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.267,0.053,0.1,0,0.182,0.077,0.179,0.121,0.135,0.119,0.106,0.096,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Content Management Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.231,0,0.125,-0.056,0.235,0.095,0.174,0.111,0.133,0.118,0.105,0.095,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Customer Relationship Management Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.344,0.163,0.16,0.017,0.237,0.151,0.226,0.184,0.172,0.168,0.168,0.149,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,eCommerce Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.333,0,0.5,0,0.333,0.125,0.111,0.1,0.182,0.077,0.071,0.067,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Enterprise Performance Management Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.333,0,0,0,0.25,0.2,0.167,0,0.143,0.125,0.111,0.1,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Enterprise Resource Planning Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.233,0.027,0.079,-0.024,0.2,0.125,0.167,0.127,0.127,0.1,0.091,0.083,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Other Enterprise Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.182,0,0.058,0,0.164,0.109,0.155,0.134,0.118,0.096,0.096,0.072,,,,,,,,,,,,
India,Enterprise Software,Revenue Change by Segment,Supply Chain Management Software,percent,Statista Market Insights,,,,,,,,,,,,,,,,,,0.167,0.071,0.133,-0.059,0.188,0.105,0.19,0.12,0.107,0.097,0.118,0.079,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Total,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,3.15,3.9,4.09,4.46,4.38,5.19,5.77,6.72,7.6,8.55,9.52,10.54,11.57,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Business Intelligence Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.32,0.39,0.41,0.45,0.43,0.5,0.55,0.63,0.71,0.79,0.87,0.96,1.05,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Content Management Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.26,0.32,0.33,0.35,0.34,0.41,0.44,0.52,0.58,0.64,0.71,0.77,0.83,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Customer Relationship Management Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.66,0.89,1.02,1.17,1.18,1.43,1.65,1.98,2.31,2.7,3.11,3.59,4.1,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,eCommerce Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.05,0.08,0.09,0.11,0.13,0.16,0.17,0.19,0.21,0.24,0.26,0.28,0.3,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Enterprise Performance Management Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.06,0.07,0.08,0.09,0.09,0.1,0.11,0.13,0.14,0.15,0.17,0.18,0.2,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Enterprise Resource Planning Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.63,0.77,0.78,0.84,0.8,0.95,1.05,1.21,1.35,1.5,1.64,1.78,1.9,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Other Enterprise Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.92,1.08,1.07,1.12,1.09,1.26,1.38,1.58,1.77,1.95,2.13,2.3,2.46,,,,,,,,,,,,
India,Enterprise Software,Average Spend per Employee,Supply Chain Management Software,USD (US$),Statista Market Insights,,,,,,,,,,,,,,,,,0.24,0.3,0.31,0.34,0.32,0.38,0.42,0.47,0.53,0.58,0.64,0.69,0.74,,,,,,,,,,,,
India,Enterprise Software,Comparable Estimates - Software (Worldwide),Statista,trillion USD (US$),,,,,,,,,,,,,,,,,,0.42,0.45,0.49,0.52,0.53,0.57,0.61,0.66,0.7,0.74,0.78,0.82,0.86,,,,,,,,,,,,
India,Enterprise Software,Comparable Estimates - Software (Worldwide),Gartner,trillion USD (US$),,,,,,,,,,,,,,,,,,,,,,,0.73,0.81,0.92,1.04,,,,,,,,,,,,,,,,
India,Enterprise Software,Comparable Estimates - Software (Worldwide),IDC,trillion USD (US$),,,,,,,,,,,,,,,,,,,0.48,0.55,0.6,0.59,0.65,0.71,0.77,0.84,,,,,,,,,,,,,,,,
India,Key Market Indicators,Population,Population,billion,Statista Market Insights,1.06,1.08,1.1,1.12,1.14,1.16,1.17,1.19,1.21,1.22,1.24,1.26,1.27,1.29,1.31,1.32,1.34,1.35,1.37,1.38,1.4,1.41,1.42,1.43,1.44,1.46,1.47,1.48,1.49,1.5,1.52,1.53,1.54,1.55,1.56,1.57,1.58,1.59,1.6,1.6,1.61
India,Key Market Indicators,Exchange Rates,EUR (€),,Statista Market Insights,1.08,1.12,1.06,0.89,0.81,0.8,0.8,0.73,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.9,0.9,0.89,0.85,0.89,0.88,0.84,0.95,0.92,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
India,Key Market Indicators,Exchange Rates,GBP (£),,Statista Market Insights,0.66,0.69,0.67,0.61,0.55,0.55,0.54,0.5,0.54,0.64,0.65,0.62,0.63,0.64,0.61,0.65,0.74,0.78,0.75,0.78,0.78,0.73,0.81,0.8,0.77,0.75,0.73,0.72,0.7,0.7,0.7,0.7,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
India,Key Market Indicators,Exchange Rates,AUD (AU$),,Statista Market Insights,1.72,1.93,1.84,1.53,1.36,1.31,1.33,1.19,1.17,1.26,1.09,0.97,0.97,1.03,1.11,1.33,1.34,1.3,1.34,1.44,1.45,1.33,1.44,1.5,1.53,1.53,1.53,1.53,1.53,1.54,1.55,1.56,1.57,1.58,1.59,1.6,1.6,1.61,1.62,1.62,1.63
India,Key Market Indicators,Exchange Rates,CAD (C$),,Statista Market Insights,1.49,1.55,1.57,1.4,1.3,1.21,1.13,1.07,1.07,1.14,1.03,0.99,1,1.03,1.11,1.28,1.33,1.3,1.3,1.33,1.34,1.25,1.3,1.34,1.33,1.31,1.3,1.29,1.28,1.28,1.29,1.29,1.29,1.29,1.3,1.3,1.3,1.3,1.3,1.31,1.31
India,Key Market Indicators,Exchange Rates,CHF (CHF),,Statista Market Insights,1.69,1.69,1.56,1.35,1.24,1.25,1.25,1.2,1.08,1.09,1.04,0.89,0.94,0.93,0.92,0.96,0.99,0.98,0.98,0.99,0.94,0.91,0.95,0.89,0.85,0.84,0.82,0.81,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77
India,Key Market Indicators,Exchange Rates,CNY (CN¥),,Statista Market Insights,8.28,8.28,8.28,8.28,8.28,8.2,7.97,7.61,6.95,6.83,6.77,6.46,6.31,6.2,6.14,6.23,6.65,6.76,6.62,6.91,6.9,6.45,6.74,7.08,7.16,7.12,7.1,7.1,7.08,7.1,7.13,7.15,7.17,7.19,7.21,7.22,7.24,7.26,7.27,7.29,7.3
India,Key Market Indicators,Exchange Rates,JPY (JP¥),,Statista Market Insights,107.8,121.5,125.4,115.9,108.2,110.2,116.3,117.8,103.4,93.57,87.78,79.81,79.79,97.6,105.9,121,108.8,112.2,110.4,109,106.8,109.8,131.5,139.1,143.1,139.5,136.9,135.1,130.4,130.3,130.2,130.1,130,129.9,129.8,129.8,129.7,129.6,129.5,129.5,129.4
India,Key Market Indicators,Exchange Rates,KRW (₩),,Statista Market Insights,"1,130","1,291","1,252","1,192","1,146","1,024",955.3,929.4,"1,100","1,277","1,157","1,108","1,127","1,095","1,053","1,131","1,161","1,131","1,100","1,165","1,180","1,144","1,291","1,303","1,311","1,304","1,302","1,302","1,303","1,306","1,309","1,312","1,314","1,317","1,319","1,321","1,324","1,326","1,328","1,330","1,331"
India,Key Market Indicators,Exchange Rates,INR (₹),,Statista Market Insights,45.69,47.69,48.41,45.95,44.93,44.27,45.25,40.26,45.99,47.44,45.56,47.92,54.41,60.5,61.14,65.47,67.07,64.45,69.92,70.9,74.22,74.5,80.36,80.66,81.17,81.74,82.43,83.18,83.93,85.61,87.24,88.82,90.35,91.83,93.26,94.64,95.97,97.26,98.49,99.68,100.8
India,Key Market Indicators,Telecommunication,Cellular Subscriptions,million,Statista Market Insights,3.58,6.54,13,33.69,52.22,90.14,166.1,233.6,346.9,525.1,752.2,893.9,864.7,886.3,944,"1,001","1,128","1,169","1,176","1,151","1,154","1,154","1,143","1,150","1,160","1,169","1,178","1,187","1,195","1,203","1,211","1,219","1,226","1,233","1,240","1,246","1,252","1,258","1,263","1,269","1,274"
India,Key Market Indicators,Telecommunication,Internet Users,million,Statista Market Insights,5.59,7.12,16.89,18.85,22.45,27.57,32.89,46.99,52.85,62.65,93.05,126.6,160.3,195,253.9,305.3,346.3,427.1,499.9,644.5,758,900.3,"1,060","1,241","1,413","1,426","1,438","1,450","1,462","1,473","1,485","1,496","1,506","1,517","1,527","1,536","1,546","1,555","1,563","1,572","1,579"
India,Key Market Indicators,Business Cycle,New Businesses Registered,,Statista Market Insights,13.32,16.61,20.71,25.8,32.13,39.99,49.72,62.92,70.3,60.81,86.64,97.41,103.1,91.84,69.84,80.55,93.71,107.5,117.8,128.6,142,140.2,143.4,147.7,152.6,157.7,163,168.3,173.8,179.2,184.7,191.3,197.9,204.5,211.1,217.7,224.2,230.7,237.2,243.7,250.1
India,Key Market Indicators,Business Cycle,Unemployment Rate (% of Labor Force),,Statista Market Insights,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.1,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06
